method,EpSafe,WorstSeed,Surv,Crash,WinUtil,Downlink,Delivered,Proc/DL,Expired,HiDel,Interv,RT(ms)
no_shield,0.950,0.500,1.000,0,0.083,1871,2989,3.15,0.522,0.238,0.095,7.08
SAFE_BUDGET only,0.925,0.500,1.000,0,0.414,7252,7675,2.70,0.237,0.621,0.356,9.39
credit gate only,1.000,1.000,1.000,0,0.375,6419,6089,2.12,0.267,0.557,0.467,8.39
SAFE_BUDGET + credit gate,1.000,1.000,1.000,0,0.357,6138,5770,2.16,0.252,0.588,0.470,8.39
